major,college,catalog_year,requirement_group,course_code,course_title,credits,notes
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDEP 2374,Educational Psychology for PK-12 Teachers,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 2574,Social Foundations of Education,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 3144,Education of Exceptional Learners,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDEP 3474,Principles and Practices in PK-12 Assessment,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 4724,Secondary School Teaching Methods I,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 4734,Adolescent Literacy and Reading,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 4744,Secondary School Teaching Methods II,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCI 1004,Introduction to Teacher Education and Licensure,1,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCT 2604,Introduction to Career and Technical Education,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCT/ALCE 4884,Youth Program Management,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Field-Based Requirements,EDCI 2004,Exploring the Teaching Profession- Field Studies in Education,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Field-Based Requirements,EDCI 3964,Field Study,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Field-Based Requirements,EDCI 4964,Field Study,9,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Field-Based Requirements,EDCT 4624,Managing a Career and Technical Education Program,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Option Required Courses,MGT 1104,Foundations of Business,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Option Required Courses,MGT 3304,Management Theory and Leadership Practice,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Option Required Courses,MKTG 3104,Marketing Management,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Option Required Courses,MKTG 3504,Advertising,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Option Required Courses,MKTG 4554,Principles of Professional Selling,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Option Required Courses,MKTG 4604,Retail Management,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Option Required Courses,MKTG 4704,International Marketing,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1f),3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1f),3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 1 - Discourse,COMM 2004,Public Speaking (1a),3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 2 - Critical Thinking in the Humanities,STS 2664,Technology Ethics,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 2 - Critical Thinking in the Humanities,STS 2254,Innovation in Context,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,ECON 2005,Principles of Economics,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 3 - Reasoning in the Social Sciences,AHRM 2404,Consumer Rights,3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Select 3 credits for Concept 5f,FIN 2114,Investments and Financial Literacy (5f),3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,HTM 3424,Event Management (6d),3,
Career and Technical Education Major with Marketing Education Option,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 6 - Critique and Practice in Design and the Arts,CS 2114,Software Design and Data Structures,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 1004,Introduction to Teacher Education and Licensure,1,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDEP 2374,Educational Psychology for PK-12 Teachers,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 2574,Social Foundations of Education,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 3144,Education of Exceptional Learners,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 3234,Foundations of Reading Instruction (PK-6),3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 3244,"Curriculum and Instruction in Elementary Mathematics, PK-3",3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Degree Core Requirements,EDCI 3334,Teaching Language Arts in the Elementary Classroom,4,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCI 2464,Foundations of Social Studies Education,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCI 3074,Elementary Curriculum: Methods in Teaching,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCI 3254,Elementary Methods in Science,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCI 3354,STEM in Elementary Schools,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCI 3464,Elementary Social Studies Teaching Methods,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDCI 4074,Culturally Responsive Teaching in the Elementary Classroom,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,EDEP 3474,Principles and Practices in PK-12 Assessment,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,MATH 1614,Numbers and Operations for Teachers,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Major Requirements,MATH 1624,Geometry for Teachers,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Field-Based Requirements,EDCI 2004,Exploring the Teaching Profession- Field Studies in Education,3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Field-Based Requirements,EDCI 3964,Field Study,6,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Field-Based Requirements,EDCI 4964,Field Study,9,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 1 - Discourse,ENGL 1105,First-Year Writing (1F),3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 1 - Discourse,ENGL 1106,First-Year Writing (1F),3,
Elementary Education (PK-6) Major,College of Liberal Arts and Human Sciences,2026-2027,Pathways Concept 2 - Critical Thinking in the Humanities,HIST 1115,History of the United States (also meets Pathways Concept 7 - Critical Analysis of Identity and Equity in the United States requirement),3,
